"Timestamp","What is your country of origin?","In which country do you currently reside ?","How old are you ?","Sex","What is your blood group ?","Are you in a relationship ?","What is the blood group of your partner ?","I like helping people.","I enjoy being part of a group.","I choose my words with care.","I take charge.","I get nervous talking to people I don't know. ","I like order.","I get upset easily.","I am modest about what I have achieved.","I seek adventure.","I enjoy being the center of attention. ","I prefer variety to routine.","I feel others' emotions.","I find it hard to trust people. ","I avoid arguing even when I disagree. ","I avoid being alone.","I am more of a detailed-oriented than a big picture person. ","I tend to focus on present realities rather than future possibilities. ","I would rather go with the flow than have a set schedule.","I often talk about my own feelings and emotions. ","After an exhausting week a fun party is just what I need.","I rarely feel insecure. "
"2020/01/25 9:56:42 PM PST","India","Canada","27","Male","O+","No","N/A","Agree","Agree","Neutral","Strongly Agree","Strongly disagree","Agree","Neutral","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly disagree","Neutral","Disagree","Strongly disagree","Agree","Neutral","Strongly disagree","Strongly agree"
"2020/01/25 10:06:04 PM PST","Nigeria","South Africa ","18","Male","AB+","No","I don't know","Strongly Agree","Neutral","Agree","Agree","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Neutral","Strongly agree","Disagree","Neutral","Strongly agree","Disagree","Agree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Agree"
"2020/01/25 10:28:50 PM PST","Chad","Dallas","23","Female","O+","Yes","O-","Strongly Agree","Agree","Agree","Agree","Disagree","Neutral","Strongly disagree","Agree","Agree","Disagree","Neutral","Agree","Disagree","Agree","Neutral","Disagree","Agree","Agree","Disagree","Agree","Agree"
"2020/01/25 10:51:35 PM PST","Nigeria","Nigeria","28","Male","O+","Yes","O+","Strongly Agree","Agree","Strongly Agree","Agree","Disagree","Disagree","Strongly Agree","Strongly agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Agree","Neutral","Strongly agree","Strongly agree","Agree","Disagree","Disagree"
"2020/01/26 12:05:43 AM PST","Ivory Coast ","France","24","Female","B+","No","I don't know","Strongly Agree","Neutral","Strongly Agree","Agree","Strongly disagree","Disagree","Strongly disagree","Agree","Neutral","Strongly disagree","Strongly agree","Agree","Agree","Agree","Disagree","Agree","Neutral","Disagree","Neutral","Strongly disagree","Strongly agree"
"2020/01/26 12:20:58 AM PST","Kenya","Kenya","38","Female","A+","Yes","O+","Agree","Neutral","Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly agree","Disagree","Agree","Strongly agree","Disagree","Neutral","Strongly agree","Disagree","Disagree","Strongly agree","Disagree","Neutral"
"2020/01/26 1:18:20 AM PST","Côte d'ivoire","Belgium","32","Male","B+","Yes","B+","Strongly Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Strongly agree","Agree","Agree","Disagree","Agree","Agree","Neutral","Strongly disagree","Agree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree"
"2020/01/26 2:19:54 AM PST","Côte d'Ivoire","Côte d'Ivoire","43","Male","O+","Yes","O+","Agree","Neutral","Disagree","Agree","Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Neutral","Strongly agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Neutral","Agree","Agree"
"2020/01/26 3:02:21 AM PST","South Africa ","United Kingdom","28","Female","A+","No","I don't know","Agree","Agree","Agree","Neutral","Strongly disagree","Neutral","Disagree","Agree","Agree","Agree","Strongly agree","Agree","Disagree","Strongly agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree"
"2020/01/26 4:25:48 AM PST","Guinea Conakry ","United States ","25","Female","A+","No","I don't know","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Neutral","Strongly disagree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree"
